experiment_number;exponent;avg_time_microseconds
666;1334;70014
667;1336;70041
668;1338;70233
669;1340;70301
670;1342;70328
671;1344;72959
672;1346;72372
673;1348;73572
674;1350;67329
675;1352;68558
676;1354;70594
677;1356;71928
678;1358;71800
679;1360;72366
680;1362;73265
681;1364;74698
682;1366;72654
683;1368;74304
684;1370;77738
685;1372;82318
686;1374;73187
687;1376;73045
688;1378;73905
689;1380;72847
690;1382;74199
691;1384;73460
692;1386;71014
693;1388;74155
694;1390;76331
695;1392;74191
696;1394;74481
697;1396;72995
698;1398;72675
699;1400;86958
700;1402;75383
701;1404;74423
702;1406;73960
703;1408;104121
704;1410;72914
705;1412;71074
706;1414;71007
707;1416;73281
708;1418;72665
709;1420;74111
710;1422;72843
711;1424;72060
712;1426;72282
713;1428;81952
714;1430;80572
715;1432;76124
716;1434;72954
717;1436;72427
718;1438;72640
719;1440;74609
720;1442;75177
721;1444;74289
722;1446;74918
723;1448;75045
724;1450;72726
725;1452;74667
726;1454;75269
727;1456;75787
728;1458;80131
729;1460;78009
730;1462;75443
731;1464;75902
732;1466;75422
733;1468;75706
734;1470;76874
735;1472;75480
736;1474;78241
737;1476;76917
738;1478;78205
739;1480;90590
740;1482;85355
741;1484;78251
742;1486;103482
743;1488;86833
744;1490;79396
745;1492;78835
746;1494;78499
747;1496;79105
748;1498;80921
749;1500;78948
750;1502;82412
751;1504;79278
752;1506;79433
753;1508;79406
754;1510;79813
755;1512;79963
756;1514;80175
757;1516;79823
758;1518;80316
759;1520;85191
760;1522;82843
761;1524;87205
762;1526;88121
763;1528;85342
764;1530;84480
765;1532;84393
766;1534;84951
767;1536;79627
768;1538;79943
769;1540;83664
770;1542;80580
771;1544;78799
772;1546;85148
773;1548;81371
774;1550;82870
775;1552;83855
776;1554;81292
777;1556;80343
778;1558;81453
779;1560;80590
780;1562;92522
781;1564;80529
782;1566;87085
783;1568;83498
784;1570;87271
785;1572;76747
786;1574;79669
787;1576;81412
788;1578;80089
789;1580;80292
790;1582;79235
791;1584;78523
792;1586;80691
793;1588;81165
794;1590;81558
795;1592;82737
796;1594;84738
797;1596;87500
798;1598;84645
799;1600;82016
800;1602;85074
801;1604;84206
802;1606;83915
803;1608;86788
804;1610;88049
805;1612;84170
806;1614;87946
807;1616;79227
808;1618;85236
809;1620;95471
810;1622;85255
811;1624;91645
812;1626;90370
813;1628;91216
814;1630;98266
815;1632;85773
816;1634;85314
817;1636;86433
818;1638;82944
819;1640;78908
820;1642;83431
821;1644;83514
822;1646;86540
823;1648;83277
824;1650;84187
825;1652;86705
826;1654;86850
827;1656;87229
828;1658;88180
829;1660;88440
830;1662;87456
831;1664;86282
832;1666;88318
833;1668;88236
834;1670;96185
835;1672;98243
836;1674;89637
837;1676;88093
838;1678;84428
839;1680;82217
840;1682;83889
841;1684;88010
842;1686;89683
843;1688;87563
844;1690;88203
845;1692;85646
846;1694;87901
847;1696;93754
848;1698;93953
849;1700;90201
850;1702;90239
851;1704;92185
852;1706;91941
853;1708;89920
854;1710;87675
855;1712;85453
856;1714;86194
857;1716;89613
858;1718;90708
859;1720;93150
860;1722;91963
861;1724;86347
862;1726;90835
863;1728;91238
864;1730;92509
865;1732;92762
866;1734;93945
867;1736;92233
868;1738;92280
869;1740;87439
870;1742;88849
871;1744;96226
872;1746;101583
873;1748;93284
874;1750;93033
